query,lon,lat,place_name,relevance,feature_id
6miles,33.739164,-13.215804,Malawi,0.5,country.8862
a23,33.739164,-13.215804,Malawi,0.5,country.8862
a24,33.739164,-13.215804,Malawi,0.5,country.8862
a25,33.739164,-13.215804,Malawi,0.5,country.8862
a49,33.739164,-13.215804,Malawi,0.5,country.8862
a56,33.739164,-13.215804,Malawi,0.5,country.8862
agoma,33.739164,-13.215804,Malawi,0.5,country.8862
airfield,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
amon,33.739164,-13.215804,Malawi,1,country.8862
andeni,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
area11,33.739164,-13.215804,Malawi,0.5,country.8862
area23,33.739164,-13.215804,Malawi,0.5,country.8862
area24,33.739164,-13.215804,Malawi,0.5,country.8862
area3,33.739164,-13.215804,Malawi,0.5,country.8862
area44,33.739164,-13.215804,Malawi,1,country.8862
area49,33.739164,-13.215804,Malawi,0.5,country.8862
balaka,34.960297,-14.985868,"Balaka, Malawi",1,region.238750
bango,33.739164,-13.215804,Malawi,0.5,country.8862
batalion,33.739164,-13.215804,Malawi,0.5,country.8862
bito,33.739164,-13.215804,Malawi,0.5,country.8862
blantyre,35.003569,-15.786254,"Blantyre, Malawi",1,region.58526
bongololo,33.739164,-13.215804,Malawi,0.5,country.8862
chadza,33.535424,-13.969878,"Chadza, Lilongwe, Malawi",1,place.436382
chakale,33.739164,-13.215804,Malawi,0.5,country.8862
chakhadza,33.739164,-13.215804,Malawi,0.5,country.8862
chakhaza,33.739164,-13.215804,Malawi,0.5,country.8862
chalendewa,33.739164,-13.215804,Malawi,0.5,country.8862
chamadenga,33.739164,-13.215804,Malawi,0.5,country.8862
chambala,33.739164,-13.215804,Malawi,0.5,country.8862
chambu,35.248984,-14.482546,"Chamba, Mangochi, Malawi",0.958333,place.575646
chamedenga,33.739164,-13.215804,Malawi,0.5,country.8862
chandaula,33.739164,-13.215804,Malawi,0.5,country.8862
chapenbeza,33.739164,-13.215804,Malawi,0.5,country.8862
chapendeka,33.739164,-13.215804,Malawi,0.5,country.8862
chatata,33.739164,-13.215804,Malawi,0.5,country.8862
chauma,33.899742,-13.735051,"Chauwa, Dowa, Malawi",0.958333,place.829598
chauwa,33.899742,-13.735051,"Chauwa, Dowa, Malawi",1,place.829598
chaweza,35.578494,-15.538096,"Chawesa, Zomba, Malawi",0.964286,place.854174
chawo,33.739164,-13.215804,Malawi,0.5,country.8862
chedza,33.535424,-13.969878,"Chadza, Lilongwe, Malawi",0.958333,place.436382
chembe,34.846135,-14.0218,"Chembe, Mangochi, Malawi",1,place.870558
chetebuwe,33.739164,-13.215804,Malawi,0.5,country.8862
chibawa,34.243976,-11.662464,"Chibaka, Nkhata Bay, Malawi",0.964286,place.895134
chibouta,33.739164,-13.215804,Malawi,0.5,country.8862
chibwinja,33.739164,-13.215804,Malawi,0.5,country.8862
chidza,33.535424,-13.969878,"Chadza, Lilongwe, Malawi",0.958333,place.436382
chigaga,33.739164,-13.215804,Malawi,0.5,country.8862
chigodi,34.059917,-14.060622,"Chingodi, Lilongwe, Malawi",0.964286,place.1460382
chigoko,33.739164,-13.215804,Malawi,0.5,country.8862
chigoli,33.739164,-13.215804,Malawi,0.5,country.8862
chikanda,33.489201,-9.713879,"Chibanda, Chitipa, Malawi",0.96875,place.903326
chikapola,33.739164,-13.215804,Malawi,0.5,country.8862
chikapule,33.739164,-13.215804,Malawi,0.5,country.8862
chikaza,33.383039,-14.034953,"Chikaza, Lilongwe, Malawi",1,place.1050782
chikokwe,33.739164,-13.215804,Malawi,0.5,country.8862
chikombe,34.200258,-12.802523,"Chikombe, Nkhotakota, Malawi",1,place.1067166
chikoti,34.303697,-12.989679,"Chisoti, Nkhotakota, Malawi",0.964286,place.1960094
chikumkuyu,33.739164,-13.215804,Malawi,0.5,country.8862
chikumulo,33.739164,-13.215804,Malawi,0.5,country.8862
chikutola,33.739164,-13.215804,Malawi,0.5,country.8862
chikuwi,33.49417,-13.945257,"Chituwi, Lilongwe, Malawi",0.964286,place.2115742
chikuza,33.383039,-14.034953,"Chikaza, Lilongwe, Malawi",0.964286,place.1050782
chikwaya,34.791215,-16.027131,"Chikwawa, Malawi",0.96875,region.165022
chilalo,33.739164,-13.215804,Malawi,0.5,country.8862
