geocode_text,lon,lat,place_name,relevance,feature_id
"nkhonde, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
mozambique,,,,0.0,
"chembe, Malawi",34.846135,-14.0218,"Chembe, Mangochi, Malawi",1.0,place.870558
"chilikumanda, Malawi",33.739164,-13.215804,Malawi,1.0,country.8862
"mazengera, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"kamphika, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mzuzu, Malawi",34.022642,-11.460752,"Mzuzu, Malawi",1.0,place.107678
"tambala, Malawi",33.629595,-12.873253,"Tambala, Kasungu, Malawi",1.0,place.10791070
"lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",1.0,region.50334
"kaphuka, Malawi",34.181856,-14.148509,"Kaphuka, Dedza, Malawi",1.0,place.4499614
"dedza, Malawi",34.328238,-14.380727,"Dedza, Malawi",1.0,region.132254
"malenges, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"chitukula, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"tomasi, Malawi",35.399202,-15.282705,"Domasi, Zomba, Malawi",0.958333,place.2508958
"khombedza, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kachere, Malawi",34.682674,-15.372861,"Kachere, Neno, Malawi",1.0,place.3582110
"chedza, Malawi",33.535424,-13.969878,"Chadza, Lilongwe, Malawi",0.958333,place.436382
"tsanbango, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"masanga, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chitekwere, Malawi",34.11597,-13.956537,"Chitekwele, Lilongwe, Malawi",0.975,place.2009246
"wezi, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chipseye, Malawi",33.739164,-13.215804,Malawi,1.0,country.8862
"kamphata, Malawi",33.338429,-14.092853,"Kamphata, Mchinji, Malawi",1.0,place.4188318
