Characteristic,Value,Notes
"Age, years, median (IQR)",37.0 (23.5–53.0),
Gender: Male,83 (57.2%),
Gender: Female,62 (42.8%),
Gender: nan,2 (1.4%),
Department: Surgical,103 (70.1%),
Department: Internal_Medicine,21 (14.3%),
Department: Obs_Gyn,16 (10.9%),
Department: Pediatrics,7 (4.8%),
"Underwent surgery, n (%)",94 (63.9%),
"ICU length of stay, nights, median (IQR)",1.0 (1.0–2.5),
"Hospital length of stay, nights, median (IQR)",4.0 (2.0–8.2),
"Intubated, n (%)",48 (32.7%),
"Died on ICU, n (%)",25 (17.0%),
